Team 1 Player 1,Team 1 Player 2,Team 1 Player 3,Team 1 Player 4,Team 1 Player 5,Team 2 Player 1,Team 2 Player 2,Team 2 Player 3,Team 2 Player 4,Team 2 Player 5,MatchID
14148,9612,8151,10330,14419,9612,14148,10330,8151,14419,2340357/mad-lions-vs-chaos-flashpoint-1
20038,20039,20041,19181,20040,20041,20038,20039,19181,20040,2340592/rozu-vs-esper-esea-mdl-season-33-australia-relegation
19906,19904,19643,19731,19905,19906,19731,19643,19904,19905,2340567/esper-vs-draconic-esea-mdl-season-33-australia-relegation
15698,11337,10840,10818,18140,10818,15698,18140,11337,10840,2340588/yeah-vs-alcoholics-anonymous-efire-master-league-north-america
16911,11539,13238,12433,10764,16911,12433,13238,11539,10764,2340556/lucid-dream-vs-d13-esea-open-season-33-asia-pacific
8520,8738,7687,10394,8797,8520,7687,8738,10394,8797,2340521/liquid-vs-mibr-esl-pro-league-season-11-north-america
15370,12782,11701,8212,8800,15370,11701,8212,12782,8800,2340578/alternate-attax-vs-endpoint-esea-advanced-season-33-europe
19181,20038,20039,20041,20040,19181,20038,20039,20041,20040,2340574/rozu-vs-draconic-esea-mdl-season-33-australia-relegation
17379,16368,15126,16808,15051,17379,16368,16808,15126,15051,2340552/ethereal-vs-faint-esea-advanced-season-33-north-america
15631,8565,12553,12521,12822,8565,15631,12553,12822,12521,2340522/furia-vs-mibr-esl-pro-league-season-11-north-america
14131,16597,9572,16649,19965,14131,16597,16649,9572,19965,2340598/blood-sweat-and-tears-vs-ethereal-esea-advanced-season-33-north-america
17941,11227,14111,11230,9259,17941,11227,14111,11230,9259,2340531/buffdaddys-paypal-vs-serac-esea-advanced-season-33-north-america
9572,16597,16649,14131,19965,16649,16597,14131,9572,19965,2340595/blood-sweat-and-tears-vs-timbermen-esea-advanced-season-33-north-america
16486,17936,17937,15714,16487,16486,17936,15714,16487,17937,2340579/prima-vs-skade-esea-advanced-season-33-europe
19778,11474,18132,9107,19938,18132,19778,9107,11474,19938,2340566/fury-vs-rozu-esea-mdl-season-33-australia-relegation
11816,9960,8574,2730,429,9960,11816,8574,2730,429,2340092/mousesports-vs-virtuspro-esl-pro-league-season-11-europe
3741,9216,18053,8183,885,3741,18053,9216,8183,885,2340407/faze-vs-virtuspro-esl-pro-league-season-11-europe
11337,18140,15698,10840,10818,11337,18140,15698,10840,10818,2340543/yeah-vs-alcoholics-anonymous-efire-master-league-north-america
11586,13278,12113,10470,8707,11586,10470,8707,13278,12113,2340358/funplus-phoenix-vs-c0ntact-flashpoint-1
13300,12018,10610,8891,10096,12018,13300,10610,8891,10096,2340353/copenhagen-flames-vs-havu-flashpoint-1
8800,12782,11701,15370,8212,12782,15370,11701,8800,8212,2340541/alternate-attax-vs-prima-esea-advanced-season-33-europe
18462,18266,14527,18219,14256,18462,14527,14256,18266,18219,2340580/vexed-vs-salamander-esea-advanced-season-33-europe
9258,13186,7253,13228,12089,9258,7253,13186,13228,12089,2340351/chaos-vs-mibr-flashpoint-1
17234,17236,18833,17231,18195,17234,17231,18833,17236,18195,2340569/incept-vs-ex-mc-academy-esea-mdl-season-33-australia-relegation
8848,11913,16731,20033,7463,8848,11913,16731,20033,7463,2340548/ambush-vs-salamander-esea-advanced-season-33-europe
8738,8520,10394,8797,7687,8520,8797,10394,7687,8738,2340417/liquid-vs-furia-esl-pro-league-season-11-north-america
14218,9261,7443,13670,9278,14218,9261,13670,7443,9278,2340280/nip-vs-ence-esl-pro-league-season-11-europe
19124,11445,14613,14489,12090,19124,14489,12090,14613,11445,2340544/station7-vs-thunder-logic-efire-master-league-north-america
8738,8520,8797,10394,7687,8738,8797,8520,10394,7687,2340416/liquid-vs-100-thieves-esl-pro-league-season-11-north-america
18865,17359,15915,12074,12373,18865,17359,15915,12074,12373,2340587/rysix-vs-neverest-liga-dell-3-mar-20
7938,5796,12781,5794,7266,7938,5794,12781,5796,7266,2340403/big-vs-forze-esl-pro-league-season-11-europe
11445,12090,14489,14613,19124,11445,14613,12090,14489,19124,2340562/station7-vs-alcoholics-anonymous-efire-master-league-north-america
12027,13982,12016,3459,14171,12027,13982,12016,14171,3459,2340584/hard-legion-vs-1win-megogo-open
13249,12713,13230,11630,8711,13249,12713,13230,8711,11630,2340354/cloud9-vs-envy-flashpoint-1
12757,18672,16613,17295,14917,13279,12757,13279,14917,17295,2340561/bogatiri-vs-1win-megogo-open
9136,11219,8523,10671,8507,9136,11219,8523,8507,10671,2340420/evil-geniuses-vs-furia-esl-pro-league-season-11-north-america
7168,10449,10981,9031,9816,7168,10449,10981,9031,9816,2340287/og-vs-tyloo-esl-pro-league-season-11-europe
9216,8183,18053,3741,885,9216,8183,18053,3741,885,2340108/faze-vs-tyloo-esl-pro-league-season-11-europe
13230,12713,13249,11630,8711,12713,13230,13249,11630,8711,2340359/cloud9-vs-copenhagen-flames-flashpoint-1
13843,17609,10938,10993,13170,13843,10938,10993,13170,17609,2340585/tricked-vs-espada-sector-mostbet-season-2
16665,18629,15047,18432,17494,16665,18629,17494,15047,18432,2340534/big-chillin-vs-faint-esea-advanced-season-33-north-america
16368,17379,16808,15126,15051,16368,16808,17379,15051,15126,2340591/ethereal-vs-trivium-esea-advanced-season-33-north-america
11816,9960,2730,429,8574,9960,11816,2730,429,8574,2340405/mousesports-vs-faze-esl-pro-league-season-11-europe
12590,16531,16228,11800,17384,12590,16531,11800,16228,17384,2340570/vertex-vs-rooster-lpl-pro-league-season-4
429,9960,8574,11816,2730,9960,429,11816,8574,2730,2340408/mousesports-vs-tyloo-esl-pro-league-season-11-europe
15007,7808,13188,9875,10892,15007,7808,10892,13188,9875,2340414/swole-patrol-vs-liquid-esl-pro-league-season-11-north-america
18638,15861,18689,9519,13949,18638,15861,18689,9519,13949,2340539/d13-vs-hz-esea-open-season-33-asia-pacific
11848,18882,17383,17904,11646,18882,17904,11848,17383,11646,2340600/goliath-vs-big-5-esea-open-season-33-south-africa
14957,12872,12086,14290,11538,12872,14957,12086,11538,14290,2340546/chiefs-vs-rooster-esl-australia-nz-championship-season-10
8125,17306,17305,9081,19673,19673,17306,9081,17305,8125,2340557/espada-vs-pompa-sector-mostbet-season-2
16389,18068,18048,16397,15208,18048,16389,18068,16397,15208,2340586/pompa-vs-skade-sector-mostbet-season-2
13466,17145,16412,11217,10762,13466,16412,17145,11217,10762,2340593/skade-vs-salamander-esea-advanced-season-33-europe
17609,13843,13170,10938,10993,17609,13843,13170,10938,10993,2340603/tricked-vs-skade-sector-mostbet-season-2
16808,15126,16368,15051,17379,16808,15126,16368,17379,15051,2340533/ethereal-vs-timbermen-esea-advanced-season-33-north-america
18740,16025,18028,18346,8758,16025,18346,18028,18740,8758,2340568/mako-vs-markandlarry-esea-mdl-season-33-australia-relegation
11230,17941,11227,14111,9259,11227,17941,14111,11230,9259,2340563/buffdaddys-paypal-vs-polar-ace-esea-advanced-season-33-north-america
16025,18740,18346,8758,18028,18346,16025,18740,8758,18028,2340575/mako-vs-ex-mc-academy-esea-mdl-season-33-australia-relegation
18462,14527,18266,14256,18219,14527,18462,18266,14256,18219,2340529/vexed-vs-endpoint-esea-advanced-season-33-europe
9819,8576,9271,13396,7821,9819,8576,13396,9271,7821,2340360/havu-vs-envy-flashpoint-1
16412,17145,11217,13466,10762,16412,13466,17145,11217,10762,2340558/skade-vs-tricked-sector-mostbet-season-2
18072,13317,14202,8733,16495,18072,13317,8733,14202,16495,2340538/salamander-vs-unique-esea-advanced-season-33-europe
14548,8460,14215,8459,11307,8460,14548,11307,8459,14215,2340559/akatsuki-vs-nosurrender-baltic-masters-season-4-finals
39,29,2757,7148,884,39,29,2757,7148,884,2340363/dignitas-vs-orgless-flashpoint-1
11219,9136,10671,8523,8507,11219,10671,9136,8507,8523,2340415/evil-geniuses-vs-100-thieves-esl-pro-league-season-11-north-america
7998,8918,11840,16947,7594,7998,11840,7594,16947,8918,2340089/natus-vincere-vs-fnatic-esl-pro-league-season-11-europe
3972,9616,7167,9618,284,3972,7167,9618,9616,284,2340110/g2-vs-og-esl-pro-league-season-11-europe
11777,6904,1045,1378,7218,6904,11777,1045,7218,1378,2340395/godsent-vs-spirit-esl-pro-league-season-11-europe
8523,9136,11219,10671,8507,8523,9136,10671,8507,11219,2340418/evil-geniuses-vs-swole-patrol-esl-pro-league-season-11-north-america
15385,15384,8917,13464,16410,15385,8917,15384,13464,16410,2340542/fate-vs-ambush-esea-advanced-season-33-europe
9618,3972,7167,284,9616,7167,9618,3972,9616,284,2340409/g2-vs-virtuspro-esl-pro-league-season-11-europe
8248,10588,9686,8082,4679,8248,10588,8082,4679,9686,2340523/100-thieves-vs-mibr-esl-pro-league-season-11-north-america
3972,9618,7167,284,9616,7167,3972,9618,284,9616,2340104/g2-vs-faze-esl-pro-league-season-11-europe
14505,9103,19732,9112,17402,14505,17402,19732,9103,9112,2340571/paradox-vs-i-sleep-lpl-pro-league-season-4
18132,19778,19938,9107,11474,19778,9107,19938,11474,18132,2340576/fury-vs-esper-esea-mdl-season-33-australia-relegation
18865,12074,17359,15915,12373,18865,12074,15915,12373,17359,2340589/rysix-vs-ex-up-liga-dell-3-mar-20
17132,16831,17133,17130,15298,17132,17130,15298,17133,16831,2340594/asterius-vs-ex-up-liga-dell-3-mar-20
17234,17231,18195,17236,18833,17234,17231,17236,18833,18195,2340582/incept-vs-rozu-esea-mdl-season-33-australia-relegation
17132,17130,17133,16831,15298,17132,17133,15298,16831,17130,2340581/asterius-vs-ex-up-liga-dell-3-mar-20
7167,3972,284,9616,9618,7167,3972,284,9616,9618,2340094/g2-vs-tyloo-esl-pro-league-season-11-europe
9960,8574,11816,2730,429,9960,8574,429,11816,2730,2340406/mousesports-vs-og-esl-pro-league-season-11-europe
19710,19711,20036,19902,19709,19710,19711,20036,19709,19902,2340572/timbermen-vs-big-chillin-esea-advanced-season-33-north-america
11630,13249,8711,13230,12713,11630,13249,8711,12713,13230,2340352/cloud9-vs-orgless-flashpoint-1
14131,16597,19965,16649,9572,14131,16597,16649,9572,19965,2340532/polar-ace-vs-front-esea-advanced-season-33-north-america
16034,17394,625,8770,11492,17394,16034,625,11492,8770,2340497/i-sleep-vs-shidiots-lpl-pro-league-season-4
19731,19906,19904,19905,19643,19906,19904,19731,19643,19905,2340583/esper-vs-mako-esea-mdl-season-33-australia-relegation
17132,17133,17130,15298,16831,17133,17132,17130,15298,16831,2340605/asterius-vs-red-feet-esea-open-season-33-brazil
14111,11227,11230,9259,17941,9259,11230,17941,14111,11227,2340590/buffdaddys-paypal-vs-faint-esea-advanced-season-33-north-america
15517,17799,19436,17453,13520,17799,15517,17453,19436,13520,2340564/front-vs-trivium-esea-advanced-season-33-north-america
17494,18629,16665,15047,18432,17494,18629,15047,16665,18432,2340553/big-chillin-vs-prospects-esea-advanced-season-33-north-america
8248,10588,4679,9686,8082,8248,4679,10588,9686,8082,2340413/100-thieves-vs-swole-patrol-esl-pro-league-season-11-north-america
17145,10762,11217,13466,16412,17145,11217,13466,10762,16412,2340547/skade-vs-turkey5-esea-advanced-season-33-europe
7592,7398,4954,7412,9032,7592,7398,4954,7412,9032,2340088/astralis-vs-vitality-esl-pro-league-season-11-europe
14505,17402,9103,19732,9112,14505,17402,19732,9103,9112,2340496/paradox-vs-airborne-lpl-pro-league-season-4
7131,9056,14365,8735,8521,9056,7131,8735,14365,8521,2340364/geng-vs-mibr-flashpoint-1
9218,12092,14736,555,19869,9218,555,12092,14736,19869,2340465/9z-vs-imperial-aorus-league-2020-1-finals
29,39,884,2757,7148,29,39,884,2757,7148,2340355/dignitas-vs-geng-flashpoint-1
14799,19174,16589,18709,17623,14799,19174,18709,16589,17623,2340573/trivium-vs-serac-esea-advanced-season-33-north-america
10590,15662,16946,14205,13779,10590,16946,15662,14205,13779,2340560/unique-vs-hard-legion-megogo-open
20017,18737,16304,18738,18735,16304,20017,18737,18738,18735,2340577/markandlarry-vs-incept-esea-mdl-season-33-australia-relegation
19711,19710,20036,19709,19902,19710,19709,20036,19711,19902,2340554/timbermen-vs-dogs-of-war-esea-advanced-season-33-north-america
8564,2023,9217,14737,5736,8564,9217,14737,5736,2023,2340356/mibr-vs-orgless-flashpoint-1
17626,17627,20035,16682,15139,17626,17627,15139,20035,16682,2340565/serac-vs-rise-esea-advanced-season-33-north-america
7427,735,8790,13899,2638,7427,735,13899,8790,2638,2340601/mustang-crew-vs-bluejays-lootbet-season-6-closed-qualifier
